"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
0,-0.151199930364,0,-1.35331478856
0.02,-0.151199930364,0.02,-2.05307058832
0.04,-0.151199930364,0.04,-2.3889533722
0.06,-0.179190162354,0.06,-2.08106082031
0.08,-0.151199930364,0.08,-2.19302174827
0.1,-0.151199930364,0.1,-2.47292406817
0.12,-0.179190162354,0.12,-2.64086546011
0.14,-0.123209698374,0.14,-2.64086546011
0.16,-0.123209698374,0.16,-2.33297290822
0.18,-0.179190162354,0.18,-3.17267986793
0.2,-0.151199930364,0.2,-2.80880685205
0.22,-0.123209698374,0.22,-3.03272870798
0.24,-0.123209698374,0.24,-2.86478731603
0.26,-0.123209698374,0.26,-2.83679708404
0.28,-0.151199930364,0.28,-3.03272870798
0.3,-0.151199930364,0.3,-2.80880685205
0.32,-0.123209698374,0.32,-2.78081662006
0.34,-0.151199930364,0.34,-2.78081662006
0.36,-0.151199930364,0.36,-2.89277754802
0.38,-0.151199930364,0.38,-2.52890453215
0.4,-0.179190162354,0.4,-2.6688556921
0.42,-0.151199930364,0.42,-2.50091430016
0.44,-0.151199930364,0.44,-2.6688556921
0.46,-0.151199930364,0.46,-2.44493383618
0.48,-0.179190162354,0.48,-2.50091430016
0.5,-0.179190162354,0.5,-1.71718780443
0.52,-0.151199930364,0.52,-2.33297290822
0.54,-0.151199930364,0.54,-2.1090510523
0.56,-0.179190162354,0.56,-1.71718780443
0.58,-0.179190162354,0.58,-1.71718780443
0.6,-0.151199930364,0.6,-1.68919757244
0.62,-0.179190162354,0.62,-0.793510148757
0.64,-0.179190162354,0.64,0.0741870429402
0.66,-0.123209698374,0.66,-1.15738316463
0.68,-0.151199930364,0.68,-0.961451540698
0.7,-0.151199930364,0.7,-0.681549220796
0.72,-0.179190162354,0.72,-0.149734812982
0.74,-0.179190162354,0.74,0.0741870429402
0.76,-0.151199930364,0.76,0.158157738911
0.78,-0.0952194663834,0.78,0.10217727493
0.8,-0.151199930364,0.8,0.494040522794
0.82,-0.151199930364,0.82,0.745952610706
0.84,-0.151199930364,0.84,0.689972146725
0.86,-0.179190162354,0.86,0.829923306676
0.88,-0.179190162354,0.88,1.02585493061
0.9,-0.179190162354,0.9,1.44570841046
0.92,-0.151199930364,0.92,1.55766933842
0.94,-0.123209698374,0.94,1.72561073036
0.96,-0.151199930364,0.96,1.55766933842
0.98,-0.151199930364,0.98,2.28541537017
1,-0.151199930364,1,2.17345444221
1.02,-0.123209698374,1.02,2.50933722609
1.04,-0.123209698374,1.04,2.81722977798
1.06,-0.151199930364,1.06,2.17345444221
1.08,-0.179190162354,1.08,2.81722977798
1.1,-0.151199930364,1.1,2.4813469941
1.12,-0.151199930364,1.12,2.67727861803
1.14,-0.123209698374,1.14,2.78923954599
1.16,-0.123209698374,1.16,2.78923954599
1.18,-0.151199930364,1.18,2.73325908201
1.2,-0.151199930364,1.2,2.84522000997
1.22,-0.151199930364,1.22,2.73325908201
1.24,-0.0952194663834,1.24,2.67727861803
1.26,-0.151199930364,1.26,2.64928838604
1.28,-0.179190162354,1.28,2.67727861803
1.3,-0.179190162354,1.3,2.56531769007
1.32,-0.123209698374,1.32,2.4813469941
1.34,-0.179190162354,1.34,2.39737629813
1.36,-0.207180394344,1.36,2.22943490619
1.38,-0.151199930364,1.38,2.59330792206
1.4,-0.179190162354,1.4,2.39737629813
1.42,-0.151199930364,1.42,2.08948374624
1.44,-0.179190162354,1.44,1.89355212231
1.46,-0.151199930364,1.46,1.72561073036
1.48,-0.179190162354,1.48,1.72561073036
1.5,-0.151199930364,1.5,1.44570841046
1.52,-0.123209698374,1.52,1.30575725051
1.54,-0.151199930364,1.54,0.913894002647
1.56,-0.179190162354,1.56,1.08183539459
1.58,-0.151199930364,1.58,0.661981914735
1.6,-0.179190162354,1.6,0.578011218764
1.62,-0.179190162354,1.62,0.438060058813
1.64,-0.179190162354,1.64,0.270118666872
1.66,-0.179190162354,1.66,0.242128434882
1.68,-0.151199930364,1.68,0.186147970901
1.7,-0.123209698374,1.7,-0.485617596864
1.72,-0.151199930364,1.72,-0.373656668904
1.74,-0.151199930364,1.74,-0.569588292835
1.76,-0.123209698374,1.76,-1.2413538606
1.78,-0.151199930364,1.78,-0.709539452786
1.8,-0.0952194663834,1.8,-0.989441772689
1.82,-0.123209698374,1.82,-1.32532455657
1.84,-0.0672292343932,1.84,-1.35331478856
1.86,-0.0952194663834,1.86,0.661981914735
1.88,-0.0952194663834,1.88,-1.12939293264
1.9,-0.0392390024029,1.9,-1.99709012434
1.92,-0.0392390024029,1.92,-2.27699244424
1.94,-0.0672292343932,1.94,-2.13704128429
1.96,-0.0392390024029,1.96,-1.63321710846
1.98,-0.0392390024029,1.98,-2.55689476414
2,-0.0392390024029,2,-2.02508035633
2.02,-0.0392390024029,2.02,-2.22101198026
2.04,0.0167414615775,2.04,-2.52890453215
2.06,-0.0392390024029,2.06,-2.6688556921
2.08,-0.0392390024029,2.08,-2.58488499613
2.1,-0.0672292343932,2.1,-2.75282638807
2.12,-0.123209698374,2.12,-2.69684592409
2.14,-0.0672292343932,2.14,-2.58488499613
2.16,-0.0672292343932,2.16,-2.69684592409
2.18,-0.0672292343932,2.18,-2.61287522812
2.2,-0.123209698374,2.2,-2.78081662006
2.22,-0.0952194663834,2.22,-2.61287522812
2.24,-0.123209698374,2.24,-2.50091430016
2.26,-0.179190162354,2.26,-2.50091430016
2.28,-0.151199930364,2.28,-2.33297290822
2.3,-0.0952194663834,2.3,-2.22101198026
2.32,-0.207180394344,2.32,-2.41694360419
2.34,-0.207180394344,2.34,-2.44493383618
2.36,-0.263160858325,2.36,-1.8291487324
2.38,-0.319141322305,2.38,-1.94110966036
2.4,-0.319141322305,2.4,-1.5212561805
2.42,-0.347131554295,2.42,-1.8291487324
2.44,-0.403112018276,2.44,-1.74517803642
2.46,-0.459092482256,2.46,-2.13704128429
2.48,-0.347131554295,2.48,-0.681549220796
2.5,-0.375121786286,2.5,-0.625568756816
2.52,-0.319141322305,2.52,-1.21336362861
2.54,-0.375121786286,2.54,-0.541598060845
2.56,-0.375121786286,2.56,-0.765519916767
